LID,Year,Localidad,BufferRadius,LC,PLAND,PLAND_Rescaled,LPI,TE,ED,AREA_AM,SHAPE_AM,CAI_AM,ENN_MN,ENN_AM,MESH
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1987.tif,1987,Los_Robles,500,11,5.7998,18.404467997334432,4.6493,14712.6369,12.9125,44.1418,2.8131,45.6522,447.0455,1556.6433,2.5602
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1987.tif,1987,Los_Robles,500,6,10.2522,32.533240250055535,6.5012,8030.5228,7.048,59.6633,1.8411,60.7994,654.122,1399.6002,6.1168
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1987.tif,1987,Los_Robles,500,3,0.0236,0.07488972804874178,0.0236,209.7525,0.1841,0.2694,1.0,0.0,,,0.0001
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1987.tif,1987,Los_Robles,500,23,0.0158,0.05013803826992035,0.0158,209.7525,0.1841,0.1796,1.3333,0.0,,,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1987.tif,1987,Los_Robles,500,33,0.3783,1.2004569542728398,0.3783,1138.6562,0.9993,4.3098,1.3571,18.75,,,0.0163
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1988.tif,1988,Los_Robles,500,12,6.1308,19.454889902230512,3.3964,16300.7626,14.3063,24.7062,2.5378,29.563,80.6105,66.3528,1.5147
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1988.tif,1988,Los_Robles,500,21,8.9125,28.282068613171113,5.9732,7790.8057,6.8376,51.15,1.5517,59.0628,119.0909,225.0953,4.5588
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1988.tif,1988,Los_Robles,500,11,5.8077,18.429595498986124,4.6493,14592.7783,12.8073,43.2009,2.5463,45.5902,387.7291,1571.9516,2.509
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1988.tif,1988,Los_Robles,500,6,10.2206,32.43306709315867,6.4697,7850.735,6.8902,59.3915,1.8075,61.2953,654.122,1397.2771,6.0702
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1988.tif,1988,Los_Robles,500,3,0.063,0.19991812876631473,0.0236,749.1159,0.6575,0.1796,1.0,0.0,735.2244,1140.6832,0.0001
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1988.tif,1988,Los_Robles,500,33,0.3783,1.200460763687252,0.3783,1138.6562,0.9993,4.3098,1.3571,18.75,,,0.0163
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1989.tif,1989,Los_Robles,500,21,10.2285,32.45803319265065,6.5563,11086.9158,9.7304,52.9707,1.6521,55.624,94.6018,137.345,5.4181
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1989.tif,1989,Los_Robles,500,12,5.4689,17.354425157871354,3.6013,21484.6449,18.856,28.8074,4.0171,10.8069,104.8703,72.697,1.5754
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1989.tif,1989,Los_Robles,500,11,4.9882,15.829022942912449,4.0426,11026.9865,9.6778,37.6478,1.8,47.3934,200.9609,157.97,1.8779
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1989.tif,1989,Los_Robles,500,6,10.4334,33.108241043378925,6.6667,8330.1691,7.311,61.1224,1.8976,59.9698,646.7204,1390.6172,6.3772
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1989.tif,1989,Los_Robles,500,3,0.0709,0.22498651350236412,0.0236,868.9745,0.7627,0.1696,1.0,0.0,619.9324,968.7412,0.0001
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1989.tif,1989,Los_Robles,500,33,0.3231,1.0252911496842574,0.3231,1018.7977,0.8941,3.6813,1.3077,12.1951,,,0.0119
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1990.tif,1990,Los_Robles,500,21,10.4886,33.283406847967505,7.3916,12345.4305,10.8349,62.9167,2.0396,54.9211,89.8939,69.8575,6.5991
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1990.tif,1990,Los_Robles,500,12,5.0197,15.928981690096153,3.0181,18008.747,15.8053,22.2495,3.2043,10.2041,99.2445,71.195,1.1169
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1990.tif,1990,Los_Robles,500,11,5.5398,17.57941167137372,4.3499,14263.1673,12.518,39.657,2.4531,44.6657,81.1105,70.4763,2.1969
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1990.tif,1990,Los_Robles,500,6,10.3073,32.70808872528798,6.58,7730.8764,6.785,60.3087,1.7893,61.6208,654.122,1408.4156,6.2162
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1990.tif,1990,Los_Robles,500,3,0.0552,0.1751658045885825,0.0236,689.1867,0.6049,0.1667,1.0,0.0,585.3966,1120.3778,0.0001
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1990.tif,1990,Los_Robles,500,33,0.1024,0.3249452606860661,0.1024,539.3635,0.4734,1.1672,1.125,0.0,,,0.0012
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1991.tif,1991,Los_Robles,500,21,10.4492,33.15848430325359,7.3522,12285.5013,10.7823,62.5204,2.0279,54.7511,89.8939,69.8949,6.5329
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1991.tif,1991,Los_Robles,500,12,5.5634,17.654357421881198,3.2072,19746.6959,17.3306,23.3029,3.3126,11.6147,114.1112,70.9139,1.2964
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1991.tif,1991,Los_Robles,500,11,4.8148,15.278822323556385,3.7589,10667.4109,9.3622,34.1307,1.7336,48.6088,150.4044,84.4708,1.6433
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1991.tif,1991,Los_Robles,500,6,10.5437,33.45836149640306,6.7691,7940.6289,6.9691,62.0853,1.8472,61.8087,927.4956,1481.142,6.5461
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1991.tif,1991,Los_Robles,500,3,0.0394,0.125028163069727,0.0079,599.2927,0.526,0.0898,1.0,0.0,648.925,648.925,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1991.tif,1991,Los_Robles,500,33,0.1024,0.3249462918360418,0.1024,539.3635,0.4734,1.1672,1.125,0.0,,,0.0012
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1992.tif,1992,Los_Robles,500,21,10.4492,33.15848430325359,7.3522,12285.5013,10.7823,62.5204,2.0279,54.7511,89.8939,69.8949,6.5329
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1992.tif,1992,Los_Robles,500,12,5.5634,17.654357421881198,3.2151,19626.8374,17.2255,23.4204,3.3174,11.6147,113.3249,70.7225,1.303
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1992.tif,1992,Los_Robles,500,11,4.8148,15.278822323556385,3.7589,10667.4109,9.3622,34.1307,1.7336,48.6088,150.4044,84.4708,1.6433
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1992.tif,1992,Los_Robles,500,6,10.5516,33.48343059508964,6.7612,7940.6289,6.9691,62.0394,1.8464,61.6878,927.4956,1478.9425,6.5462
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1992.tif,1992,Los_Robles,500,3,0.0315,0.09995906438315738,0.0079,479.4342,0.4208,0.0898,1.0,0.0,219.1651,219.1651,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1992.tif,1992,Los_Robles,500,33,0.1024,0.3249462918360418,0.1024,539.3635,0.4734,1.1672,1.125,0.0,,,0.0012
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1993.tif,1993,Los_Robles,500,21,10.4492,33.158273860711894,7.3522,12285.5013,10.7823,62.5204,2.0279,54.7511,89.8939,69.8949,6.5329
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1993.tif,1993,Los_Robles,500,12,5.3586,17.004356918234006,3.554,19027.5446,16.6995,28.6484,3.8366,10.8824,117.0266,114.6574,1.5351
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1993.tif,1993,Los_Robles,500,11,5.0985,16.178985882061745,3.7983,11566.35,10.1512,32.8056,1.6622,48.5317,87.6968,72.0167,1.6726
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1993.tif,1993,Los_Robles,500,6,10.4965,33.30837016986587,6.7139,7820.7703,6.8639,61.6157,1.8131,61.7117,927.4956,1476.903,6.4675
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1993.tif,1993,Los_Robles,500,3,0.0079,0.025068939583855608,0.0079,119.8585,0.1052,0.0898,1.0,0.0,,,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1993.tif,1993,Los_Robles,500,33,0.1024,0.3249442295426347,0.1024,539.3635,0.4734,1.1672,1.125,0.0,,,0.0012
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1994.tif,1994,Los_Robles,500,21,10.4492,33.15837908164884,7.3522,12285.5013,10.7823,62.5204,2.0279,54.7511,89.8939,69.8949,6.5329
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1994.tif,1994,Los_Robles,500,12,5.1852,16.45416177450576,2.9393,17948.8177,15.7527,21.262,3.1957,10.0304,118.0476,82.7254,1.1025
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1994.tif,1994,Los_Robles,500,11,5.3901,17.104369625234032,3.751,13544.016,11.8869,32.2113,2.2444,45.1754,79.6536,73.0318,1.7362
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1994.tif,1994,Los_Robles,500,6,10.3625,32.88325452987656,6.5879,7880.6996,6.9165,60.5094,1.844,60.8365,927.4956,1469.911,6.2703
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1994.tif,1994,Los_Robles,500,3,0.0236,0.07488972804874178,0.0079,359.5756,0.3156,0.0898,1.0,0.0,951.6063,951.6063,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1994.tif,1994,Los_Robles,500,33,0.1024,0.32494526068606605,0.1024,539.3635,0.4734,1.1672,1.125,0.0,,,0.0012
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1995.tif,1995,Los_Robles,500,21,10.4492,33.158273860711894,7.3522,12285.5013,10.7823,62.5204,2.0279,54.7511,89.8939,69.8949,6.5329
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1995.tif,1995,Los_Robles,500,12,5.1852,16.45410956078583,2.9314,17948.8177,15.7527,21.1684,3.1776,10.0304,118.0476,82.9076,1.0976
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1995.tif,1995,Los_Robles,500,11,5.3901,17.10431534822027,3.751,13544.016,11.8869,32.2113,2.2444,45.1754,79.6536,73.0318,1.7362
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1995.tif,1995,Los_Robles,500,6,10.331,32.78319175200155,6.5642,7790.8057,6.8376,60.2922,1.836,60.7933,927.4956,1469.2857,6.2288
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1995.tif,1995,Los_Robles,500,3,0.0552,0.1751652487378265,0.0158,749.1159,0.6575,0.1411,1.0952,0.0,461.3213,411.9326,0.0001
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1995.tif,1995,Los_Robles,500,33,0.1024,0.3249442295426347,0.1024,539.3635,0.4734,1.1672,1.125,0.0,,,0.0012
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1996.tif,1996,Los_Robles,500,21,10.0788,31.982991146510965,6.3987,10847.1987,9.52,50.4384,1.5811,54.9648,111.3786,159.6591,5.0836
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1996.tif,1996,Los_Robles,500,12,5.3901,17.104369625234035,2.9078,19387.1203,17.0151,20.5396,3.1848,9.5029,108.9599,72.0972,1.1071
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1996.tif,1996,Los_Robles,500,11,5.2797,16.754038016056867,4.011,13124.5111,11.5187,35.2947,2.0214,42.9851,156.6798,260.845,1.8635
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1996.tif,1996,Los_Robles,500,6,10.3783,32.93339256814648,6.5485,8210.3106,7.2058,60.263,1.9091,59.4533,919.8424,1446.8827,6.2542
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1996.tif,1996,Los_Robles,500,3,0.1103,0.35001427982102623,0.0236,1408.3379,1.236,0.1924,1.1071,0.0,518.9903,327.8171,0.0002
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1996.tif,1996,Los_Robles,500,33,0.2758,0.875194364230635,0.2758,898.9391,0.789,3.1426,1.25,11.4286,,,0.0087
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1997.tif,1997,Los_Robles,500,21,10.5201,33.38336559515121,6.4381,9139.2144,8.021,50.7416,1.5066,57.0037,148.9923,175.6893,5.3381
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1997.tif,1997,Los_Robles,500,12,4.539,14.403579475137246,2.3404,16720.2676,14.6745,16.005,2.8009,7.2917,83.5585,64.3441,0.7265
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1997.tif,1997,Los_Robles,500,11,5.8392,18.5294957636531,4.3184,14562.8137,12.781,37.4202,2.1744,45.2092,120.4107,67.2939,2.1851
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1997.tif,1997,Los_Robles,500,6,10.2128,32.40821248373687,6.4539,8210.3106,7.2058,59.3284,1.9099,58.8735,927.4956,1463.1005,6.0591
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1997.tif,1997,Los_Robles,500,3,0.1182,0.37508329895598647,0.0236,1528.1965,1.3412,0.1616,1.05,0.0,396.4391,341.3807,0.0002
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1997.tif,1997,Los_Robles,500,33,0.2837,0.9002633833655953,0.2837,898.9391,0.789,3.2324,1.25,11.1111,,,0.0092
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1998.tif,1998,Los_Robles,500,12,4.342,13.778440643543934,2.2537,16930.02,14.8586,15.388,2.8556,7.6225,73.9987,64.8265,0.6681
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1998.tif,1998,Los_Robles,500,21,10.725,34.033573445879476,6.446,9199.1436,8.0736,50.3067,1.5166,56.576,144.4746,174.9627,5.3954
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1998.tif,1998,Los_Robles,500,11,5.8629,18.604702821057977,4.6651,14652.7076,12.8599,43.5831,2.7073,44.4892,445.7423,1544.0083,2.5552
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1998.tif,1998,Los_Robles,500,6,10.197,32.35807444546695,6.4539,8240.2752,7.2321,59.354,1.9111,59.0417,937.3644,1483.5909,6.0523
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1998.tif,1998,Los_Robles,500,3,0.0394,0.12502776631866214,0.0158,539.3635,0.4734,0.1257,1.0,0.0,788.3362,1095.0725,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1998.tif,1998,Los_Robles,500,33,0.3467,1.100180877732999,0.3467,1078.7269,0.9467,3.9507,1.2857,15.9091,,,0.0137
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1999.tif,1999,Los_Robles,500,12,4.6336,14.70377304604449,2.5059,18158.5702,15.9368,17.0948,2.8106,9.3537,69.7165,63.0719,0.7921
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1999.tif,1999,Los_Robles,500,21,10.5122,33.358296576016244,6.446,10277.8706,9.0204,50.9185,1.5926,55.0225,165.2947,191.8398,5.3527
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1999.tif,1999,Los_Robles,500,11,5.6659,17.979563989464665,4.6099,14263.1673,12.518,44.0989,2.8118,44.9235,465.4724,1588.1015,2.4986
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1999.tif,1999,Los_Robles,500,6,10.2994,32.68301970615302,6.5485,7760.841,6.8113,60.1826,1.8368,60.6733,927.4956,1470.0289,6.1985
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1999.tif,1999,Los_Robles,500,3,0.0394,0.12502776631866214,0.0236,479.4342,0.4208,0.1975,1.0,0.0,970.7212,1530.2252,0.0001
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1999.tif,1999,Los_Robles,500,33,0.3625,1.1503189160029192,0.3625,1078.7269,0.9467,4.1302,1.2857,17.3913,,,0.015
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2000.tif,2000,Los_Robles,500,12,4.9173,15.60398691337888,2.7266,18398.2873,16.1472,18.987,2.9311,9.9359,70.9399,68.6077,0.9336
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2000.tif,2000,Los_Robles,500,21,10.2522,32.53313701286132,6.446,10427.6938,9.1518,51.7043,1.5992,55.1115,169.7888,192.8191,5.3008
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2000.tif,2000,Los_Robles,500,11,5.5556,17.62949376608458,4.6572,12555.183,11.019,44.8279,2.4034,47.6596,374.3115,1625.6599,2.4904
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2000.tif,2000,Los_Robles,500,6,10.4255,33.08306704196033,6.643,8000.5581,7.0217,60.9995,1.844,61.2245,927.4956,1472.506,6.3595
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2000.tif,2000,Los_Robles,500,33,0.3625,1.1503152657148932,0.3625,1078.7269,0.9467,4.1302,1.2857,17.3913,,,0.015
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2001.tif,2001,Los_Robles,500,12,4.9882,15.828972712935258,2.8526,18727.8983,16.4365,20.6122,3.2951,8.5308,78.1995,72.2105,1.0282
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2001.tif,2001,Los_Robles,500,21,10.0079,31.757903855856775,6.3909,11146.845,9.783,50.6425,1.5885,54.4094,146.7968,179.8327,5.0682
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2001.tif,2001,Los_Robles,500,11,5.8235,18.479616413491534,4.673,14083.3795,12.3602,44.0497,2.6811,45.4668,478.0819,1621.9348,2.5652
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2001.tif,2001,Los_Robles,500,6,10.331,32.78319175200155,6.5563,8060.4874,7.0743,60.237,1.8761,60.6407,927.4956,1467.9175,6.2231
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2001.tif,2001,Los_Robles,500,33,0.3625,1.1503152657148932,0.3625,1078.7269,0.9467,4.1302,1.2857,17.3913,,,0.015
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2002.tif,2002,Los_Robles,500,12,5.0827,16.128950366357902,3.1284,20166.2008,17.6988,23.6187,3.5965,10.3876,72.1321,70.4998,1.2005
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2002.tif,2002,Los_Robles,500,21,10.3231,32.758330715357836,6.4775,11026.9865,9.6778,50.5531,1.5629,53.7405,159.7334,180.7422,5.2186
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2002.tif,2002,Los_Robles,500,11,5.1931,16.479283087243637,4.6257,10187.9767,8.9415,47.1016,2.3343,50.9863,514.6136,1994.5405,2.446
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2002.tif,2002,Los_Robles,500,6,10.4649,33.2083051702636,6.6903,8360.1338,7.3373,61.3981,1.9213,59.1867,927.4956,1476.3068,6.4253
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2002.tif,2002,Los_Robles,500,3,0.0236,0.07488996569658775,0.0079,359.5756,0.3156,0.0898,1.0,0.0,421.5775,421.5775,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2002.tif,2002,Los_Robles,500,23,0.063,0.19991812876631473,0.063,599.2927,0.526,0.7183,1.8333,0.0,,,0.0005
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2002.tif,2002,Los_Robles,500,33,0.3625,1.1503225663141126,0.3625,1078.7269,0.9467,4.1302,1.2857,17.3913,,,0.015
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2003.tif,2003,Los_Robles,500,12,4.5626,14.478469203185988,2.7975,18757.8629,16.4628,20.6576,3.2406,8.6356,76.47,63.3171,0.9425
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_2003.tif,2003,Los_Robles,500,21,10.5595,33.50839336146987,6.5642,11476.4561,10.0723,50.8591,1.5919,53.7313,156.1791,180.2936,5.3705
